Genes	Samples	Mutations	Papers
ABL1	34471	657	719
ACVR1	13360	114	125
ACVR1B	2737	28	105
ACVR2A	3287	266	163
AKT1	56152	1263	1009
ALK	34201	1327	746
AMER1	19020	625	232
APC	47713	7821	1481
AR	19969	751	347
ARHGAP26	3712	40	105
ARID1A	27417	2340	684
ARID1B	17493	673	276
ARID2	19065	807	357
ASXL1	36283	2729	711
ATM	35139	2172	807
ATP1A1	1460	49	116
ATP2B3	1657	31	144
ATR	21564	1183	304
ATRX	25271	1180	487
AXIN1	18303	498	316
AXIN2	16465	441	199
B2M	15225	285	175
BAP1	21778	975	434
BARD1	15808	327	144
BCL9L	280	9	124
BCOR	26181	688	363
BCORL1	8179	241	217
BIRC3	17495	216	166
BRAF	277969	54146	5495
BRCA1	25383	743	470
BRCA2	25748	1276	542
BTK	16586	204	199
CACNA1D	1734	87	191
CALR	36621	4623	382
CARD11	19119	686	317
CASP8	19381	305	219
CBL	32841	797	566
CBLB	5695	46	167
CD79A	15241	76	148
CD79B	18276	179	207
CDC73	16639	200	251
CDH1	30667	1418	575
CDK12	18191	414	243
CDKN1B	22979	293	208
CDKN2A	62209	2013	1664
CDKN2C	18762	166	209
CEBPA	35765	1447	623
CHD4	3446	73	186
CIC	17101	577	291
CNOT3	808	21	108
COL2A1	618	34	128
CREBBP	26354	987	449
CRLF2	15991	113	122
CSF1R	26107	347	324
CSF3R	22046	339	257
CTCF	19280	448	207
CTNNA1	4631	123	130
CTNNB1	69668	7165	1904
CUX1	8601	97	191
CXCR4	15294	379	151
CYLD	5226	142	209
DAXX	18369	238	244
DDR2	20399	376	285
DDX3X	2437	77	164
DGCR8	848	55	95
DICER1	21317	609	313
DNM2	1388	74	107
DNMT3A	43115	3615	735
DROSHA	1991	134	131
EGFR	153076	27951	4476
EP300	25889	888	418
EPAS1	1483	98	148
ERBB2	57871	1669	1107
ERBB3	26507	932	359
ERBB4	28454	999	551
ESR1	23491	858	307
ETNK1	1261	20	72
EZH2	36795	1153	688
FAS	3557	128	131
FAT1	16838	1100	305
FAT4	1777	171	258
FBXO11	2426	18	196
FBXW7	44976	1788	866
FES	2275	68	135
FGFR1	35178	286	635
FGFR2	36778	574	650
FGFR3	48597	3119	861
FGFR4	23067	342	271
FLT3	112639	17054	1975
FOXA1	15883	399	157
FOXL2	22046	924	245
FUBP1	15442	227	190
GATA1	22182	471	324
GATA2	25135	340	247
GATA3	21096	867	289
GNA11	24650	627	494
GNAQ	30847	979	614
GNAS	45015	1680	840
GRIN2A	15693	570	251
H3F3A	20768	885	281
H3F3B	15383	110	92
HIF1A	3226	31	137
HIST1H3B	166	145	99
HNF1A	21856	483	392
HRAS	63911	1951	1644
IDH1	90629	10298	1984
IDH2	72276	2475	1483
IKBKB	3254	39	122
IKZF1	22381	916	346
IL6ST	2017	144	143
IL7R	19402	302	212
IRS4	541	24	114
JAK1	27195	627	429
JAK2	158715	51752	2430
JAK3	31731	576	556
KCNJ5	3685	1115	172
KDM5C	17451	401	242
KDM6A	26590	888	420
KDR	23650	635	521
KEAP1	17489	555	214
KIT	71462	8712	2588
KLF4	14369	216	114
KMT2A	29045	954	533
KMT2C	25023	1753	479
KMT2D	25533	1924	497
KRAS	226030	42309	7421
LATS1	13798	254	117
LATS2	14305	323	147
LEF1	3641	53	101
LRP1B	5538	677	354
LZTR1	1988	172	154
MAP2K1	28594	536	482
MAP2K2	18977	192	253
MAP2K4	22701	337	286
MAP3K1	19793	971	246
MAP3K13	15670	192	162
MAX	100	100	60
MED12	28951	3611	394
MEN1	20246	570	360
MET	42903	1185	969
MLH1	26995	615	527
MPL	59644	1362	838
MSH2	21619	542	346
MSH6	23445	885	428
MTOR	22509	872	398
MYC	21968	461	252
MYD88	28918	2045	398
MYOD1	13111	119	78
NCOA2	2216	40	149
NCOR1	17294	585	261
NCOR2	3567	122	180
NF1	34057	2163	787
NF2	24739	1441	425
NFE2L2	19658	383	301
NFKBIE	2190	101	118
NOTCH1	45964	3741	978
NOTCH2	23650	1005	403
NPM1	50793	6442	1252
NRAS	110883	6692	3160
NT5C2	2461	47	89
NTRK3	19725	391	296
PAX5	19197	348	286
PBRM1	18669	986	359
PDGFRA	52677	2154	1329
PHF6	10914	336	183
PHOX2B	15468	84	147
